"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CZ","Actual Total Load [MW] - BZN|CZ"
"01.06.2022 06:00 - 01.06.2022 07:00","7288","7082"
"01.06.2022 07:00 - 01.06.2022 08:00","7836","7637"
"01.06.2022 08:00 - 01.06.2022 09:00","8087","7931"
"01.06.2022 09:00 - 01.06.2022 10:00","8214","8114"
"01.06.2022 10:00 - 01.06.2022 11:00","8199","8072"
"01.06.2022 11:00 - 01.06.2022 12:00","8278","8173"
"01.06.2022 12:00 - 01.06.2022 13:00","8338","8270"
"01.06.2022 13:00 - 01.06.2022 14:00","8226","8158"
"01.06.2022 14:00 - 01.06.2022 15:00","8020","7939"
"01.06.2022 15:00 - 01.06.2022 16:00","7977","7832"
"01.06.2022 16:00 - 01.06.2022 17:00","7890","7768"
"01.06.2022 17:00 - 01.06.2022 18:00","7757","7671"
"01.06.2022 18:00 - 01.06.2022 19:00","7561","7516"
"01.06.2022 19:00 - 01.06.2022 20:00","7496","7468"
"01.06.2022 20:00 - 01.06.2022 21:00","7333","7278"
"01.06.2022 21:00 - 01.06.2022 22:00","7178","7156"
"01.06.2022 22:00 - 01.06.2022 23:00","6833","6835"
"01.06.2022 23:00 - 02.06.2022 00:00","6404","6393"
"02.06.2022 00:00 - 02.06.2022 01:00","6085","6043"
"02.06.2022 01:00 - 02.06.2022 02:00","6041","6025"
"02.06.2022 02:00 - 02.06.2022 03:00","5894","5833"
"02.06.2022 03:00 - 02.06.2022 04:00","5806","5772"
"02.06.2022 04:00 - 02.06.2022 05:00","5857","5828"
"02.06.2022 05:00 - 02.06.2022 06:00","6157","6124"
"02.06.2022 06:00 - 02.06.2022 07:00","7191","7162"
"02.06.2022 07:00 - 02.06.2022 08:00","7743","7713"
"02.06.2022 08:00 - 02.06.2022 09:00","8016","7968"
"02.06.2022 09:00 - 02.06.2022 10:00","8193","8044"
"02.06.2022 10:00 - 02.06.2022 11:00","8158","8092"
"02.06.2022 11:00 - 02.06.2022 12:00","8224","8182"
"02.06.2022 12:00 - 02.06.2022 13:00","8278","8230"
"02.06.2022 13:00 - 02.06.2022 14:00","8162","8072"
"02.06.2022 14:00 - 02.06.2022 15:00","7961","7903"
"02.06.2022 15:00 - 02.06.2022 16:00","7909","7838"
"02.06.2022 16:00 - 02.06.2022 17:00","7823","7745"
"02.06.2022 17:00 - 02.06.2022 18:00","7674","7646"
"02.06.2022 18:00 - 02.06.2022 19:00","7472","7512"
"02.06.2022 19:00 - 02.06.2022 20:00","7429","7469"
"02.06.2022 20:00 - 02.06.2022 21:00","7288","7300"
"02.06.2022 21:00 - 02.06.2022 22:00","7146","7139"
"02.06.2022 22:00 - 02.06.2022 23:00","6806","6837"
"02.06.2022 23:00 - 03.06.2022 00:00","6370","6375"
"03.06.2022 00:00 - 03.06.2022 01:00","6003","6013"
"03.06.2022 01:00 - 03.06.2022 02:00","5978","5975"
"03.06.2022 02:00 - 03.06.2022 03:00","5832","5810"
"03.06.2022 03:00 - 03.06.2022 04:00","5762","5726"
"03.06.2022 04:00 - 03.06.2022 05:00","5810","5744"
"03.06.2022 05:00 - 03.06.2022 06:00","6065","5985"
"03.06.2022 06:00 - 03.06.2022 07:00","7058","7037"
"03.06.2022 07:00 - 03.06.2022 08:00","7567","7588"
"03.06.2022 08:00 - 03.06.2022 09:00","7844","7851"
"03.06.2022 09:00 - 03.06.2022 10:00","8044","8037"
"03.06.2022 10:00 - 03.06.2022 11:00","8028","8022"
"03.06.2022 11:00 - 03.06.2022 12:00","8086","8127"
"03.06.2022 12:00 - 03.06.2022 13:00","8110","8150"
"03.06.2022 13:00 - 03.06.2022 14:00","7981","7979"
"03.06.2022 14:00 - 03.06.2022 15:00","7777","7777"
"03.06.2022 15:00 - 03.06.2022 16:00","7722","7734"
"03.06.2022 16:00 - 03.06.2022 17:00","7640","7655"
"03.06.2022 17:00 - 03.06.2022 18:00","7462","7516"
"03.06.2022 18:00 - 03.06.2022 19:00","7210","7262"
"03.06.2022 19:00 - 03.06.2022 20:00","7119","7146"
"03.06.2022 20:00 - 03.06.2022 21:00","6912","6898"
"03.06.2022 21:00 - 03.06.2022 22:00","6741","6768"
"03.06.2022 22:00 - 03.06.2022 23:00","6400","6375"
"03.06.2022 23:00 - 04.06.2022 00:00","5983","5929"
"04.06.2022 00:00 - 04.06.2022 01:00","5462","5438"
"04.06.2022 01:00 - 04.06.2022 02:00","5324","5280"
"04.06.2022 02:00 - 04.06.2022 03:00","5249","5243"
"04.06.2022 03:00 - 04.06.2022 04:00","5208","5232"
"04.06.2022 04:00 - 04.06.2022 05:00","5184","5197"
"04.06.2022 05:00 - 04.06.2022 06:00","5079","5070"
"04.06.2022 06:00 - 04.06.2022 07:00","5381","5338"
"04.06.2022 07:00 - 04.06.2022 08:00","5873","5771"
"04.06.2022 08:00 - 04.06.2022 09:00","6303","6300"
"04.06.2022 09:00 - 04.06.2022 10:00","6711","6698"
"04.06.2022 10:00 - 04.06.2022 11:00","6947","7004"
"04.06.2022 11:00 - 04.06.2022 12:00","7118","7178"
"04.06.2022 12:00 - 04.06.2022 13:00","6980","6982"
"04.06.2022 13:00 - 04.06.2022 14:00","6840","6845"
"04.06.2022 14:00 - 04.06.2022 15:00","6675","6635"
"04.06.2022 15:00 - 04.06.2022 16:00","6616","6568"
"04.06.2022 16:00 - 04.06.2022 17:00","6519","6547"
"04.06.2022 17:00 - 04.06.2022 18:00","6293","6347"
"04.06.2022 18:00 - 04.06.2022 19:00","6182","6248"
"04.06.2022 19:00 - 04.06.2022 20:00","6102","6172"
"04.06.2022 20:00 - 04.06.2022 21:00","5976","5999"
"04.06.2022 21:00 - 04.06.2022 22:00","5996","5993"
"04.06.2022 22:00 - 04.06.2022 23:00","5817","5835"
"04.06.2022 23:00 - 05.06.2022 00:00","5481","5454"
"05.06.2022 00:00 - 05.06.2022 01:00","5118","5083"
"05.06.2022 01:00 - 05.06.2022 02:00","4966","4977"
"05.06.2022 02:00 - 05.06.2022 03:00","4916","4978"
"05.06.2022 03:00 - 05.06.2022 04:00","4860","4937"
"05.06.2022 04:00 - 05.06.2022 05:00","4807","4847"
"05.06.2022 05:00 - 05.06.2022 06:00","4620","4710"
"05.06.2022 06:00 - 05.06.2022 07:00","4828","4936"
"05.06.2022 07:00 - 05.06.2022 08:00","5314","5395"
"05.06.2022 08:00 - 05.06.2022 09:00","5791","5942"
"05.06.2022 09:00 - 05.06.2022 10:00","6258","6359"
"05.06.2022 10:00 - 05.06.2022 11:00","6577","6671"
"05.06.2022 11:00 - 05.06.2022 12:00","6808","6817"
"05.06.2022 12:00 - 05.06.2022 13:00","6653","6661"
"05.06.2022 13:00 - 05.06.2022 14:00","6553","6563"
"05.06.2022 14:00 - 05.06.2022 15:00","6429","6439"
"05.06.2022 15:00 - 05.06.2022 16:00","6404","6388"
"05.06.2022 16:00 - 05.06.2022 17:00","6365","6401"
"05.06.2022 17:00 - 05.06.2022 18:00","6221","6248"
"05.06.2022 18:00 - 05.06.2022 19:00","6246","6299"
"05.06.2022 19:00 - 05.06.2022 20:00","6258","6424"
"05.06.2022 20:00 - 05.06.2022 21:00","6225","6423"
"05.06.2022 21:00 - 05.06.2022 22:00","6324","6478"
"05.06.2022 22:00 - 05.06.2022 23:00","6217","6407"
"05.06.2022 23:00 - 06.06.2022 00:00","5897","6032"
"06.06.2022 00:00 - 06.06.2022 01:00","5744","5802"
"06.06.2022 01:00 - 06.06.2022 02:00","5725","5796"
"06.06.2022 02:00 - 06.06.2022 03:00","5586","5612"
"06.06.2022 03:00 - 06.06.2022 04:00","5493","5510"
"06.06.2022 04:00 - 06.06.2022 05:00","5541","5599"
"06.06.2022 05:00 - 06.06.2022 06:00","5852","5885"
"06.06.2022 06:00 - 06.06.2022 07:00","6943","7025"
"06.06.2022 07:00 - 06.06.2022 08:00","7528","7666"
"06.06.2022 08:00 - 06.06.2022 09:00","7880","8003"
"06.06.2022 09:00 - 06.06.2022 10:00","8141","8166"
"06.06.2022 10:00 - 06.06.2022 11:00","8145","8117"
"06.06.2022 11:00 - 06.06.2022 12:00","8300","8255"
"06.06.2022 12:00 - 06.06.2022 13:00","8371","8349"
"06.06.2022 13:00 - 06.06.2022 14:00","8258","8207"
"06.06.2022 14:00 - 06.06.2022 15:00","8053","7990"
"06.06.2022 15:00 - 06.06.2022 16:00","8013","7915"
"06.06.2022 16:00 - 06.06.2022 17:00","7944","7822"
"06.06.2022 17:00 - 06.06.2022 18:00","7803","7736"
"06.06.2022 18:00 - 06.06.2022 19:00","7553","7539"
"06.06.2022 19:00 - 06.06.2022 20:00","7466","7536"
"06.06.2022 20:00 - 06.06.2022 21:00","7282","7295"
"06.06.2022 21:00 - 06.06.2022 22:00","7114","7166"
"06.06.2022 22:00 - 06.06.2022 23:00","6776","6801"
"06.06.2022 23:00 - 07.06.2022 00:00","6333","6390"
"07.06.2022 00:00 - 07.06.2022 01:00","6011","6026"
"07.06.2022 01:00 - 07.06.2022 02:00","5958","5966"
"07.06.2022 02:00 - 07.06.2022 03:00","5793","5801"
"07.06.2022 03:00 - 07.06.2022 04:00","5697","5707"
"07.06.2022 04:00 - 07.06.2022 05:00","5740","5775"
"07.06.2022 05:00 - 07.06.2022 06:00","6018","6102"
"07.06.2022 06:00 - 07.06.2022 07:00","7045","7146"
"07.06.2022 07:00 - 07.06.2022 08:00","7618","7767"
"07.06.2022 08:00 - 07.06.2022 09:00","7938","8068"
"07.06.2022 09:00 - 07.06.2022 10:00","8180","8291"
"07.06.2022 10:00 - 07.06.2022 11:00","8176","8287"
"07.06.2022 11:00 - 07.06.2022 12:00","8298","8414"
"07.06.2022 12:00 - 07.06.2022 13:00","8376","8500"
"07.06.2022 13:00 - 07.06.2022 14:00","8263","8363"
"07.06.2022 14:00 - 07.06.2022 15:00","8071","8141"
"07.06.2022 15:00 - 07.06.2022 16:00","8032","8057"
"07.06.2022 16:00 - 07.06.2022 17:00","7946","7992"
"07.06.2022 17:00 - 07.06.2022 18:00","7756","7892"
"07.06.2022 18:00 - 07.06.2022 19:00","7524","7749"
"07.06.2022 19:00 - 07.06.2022 20:00","7482","7667"
"07.06.2022 20:00 - 07.06.2022 21:00","7318","7367"
"07.06.2022 21:00 - 07.06.2022 22:00","7097","7133"
"07.06.2022 22:00 - 07.06.2022 23:00","6754","6812"
"07.06.2022 23:00 - 08.06.2022 00:00","6315","6354"
"08.06.2022 00:00 - 08.06.2022 01:00","5991","6006"
"08.06.2022 01:00 - 08.06.2022 02:00","5943","5945"
"08.06.2022 02:00 - 08.06.2022 03:00","5785","5781"
"08.06.2022 03:00 - 08.06.2022 04:00","5688","5714"
"08.06.2022 04:00 - 08.06.2022 05:00","5744","5779"
"08.06.2022 05:00 - 08.06.2022 06:00","6037","6057"
"08.06.2022 06:00 - 08.06.2022 07:00","7097","7095"
"08.06.2022 07:00 - 08.06.2022 08:00","7675","7643"
"08.06.2022 08:00 - 08.06.2022 09:00","7969","7971"
"08.06.2022 09:00 - 08.06.2022 10:00","8164","8190"
"08.06.2022 10:00 - 08.06.2022 11:00","8130","8187"
"08.06.2022 11:00 - 08.06.2022 12:00","8236","8281"
"08.06.2022 12:00 - 08.06.2022 13:00","8294","8377"
"08.06.2022 13:00 - 08.06.2022 14:00","8178","8212"
"08.06.2022 14:00 - 08.06.2022 15:00","7979","8006"
"08.06.2022 15:00 - 08.06.2022 16:00","7927","7908"
"08.06.2022 16:00 - 08.06.2022 17:00","7843","7845"
"08.06.2022 17:00 - 08.06.2022 18:00","7701","7719"
"08.06.2022 18:00 - 08.06.2022 19:00","7480","7529"
"08.06.2022 19:00 - 08.06.2022 20:00","7439","7509"
"08.06.2022 20:00 - 08.06.2022 21:00","7263","7304"
"08.06.2022 21:00 - 08.06.2022 22:00","7106","7199"
"08.06.2022 22:00 - 08.06.2022 23:00","6787","6878"
"08.06.2022 23:00 - 09.06.2022 00:00","6350","6417"
"09.06.2022 00:00 - 09.06.2022 01:00","6038","6037"
"09.06.2022 01:00 - 09.06.2022 02:00","5970","5967"
"09.06.2022 02:00 - 09.06.2022 03:00","5809","5783"
"09.06.2022 03:00 - 09.06.2022 04:00","5723","5676"
"09.06.2022 04:00 - 09.06.2022 05:00","5774","5716"
"09.06.2022 05:00 - 09.06.2022 06:00","6050","6009"
"09.06.2022 06:00 - 09.06.2022 07:00","7063","7036"
"09.06.2022 07:00 - 09.06.2022 08:00","7642","7617"
"09.06.2022 08:00 - 09.06.2022 09:00","7951","7908"
"09.06.2022 09:00 - 09.06.2022 10:00","8190","8113"
"09.06.2022 10:00 - 09.06.2022 11:00","8179","8094"
"09.06.2022 11:00 - 09.06.2022 12:00","8295","8213"
"09.06.2022 12:00 - 09.06.2022 13:00","8362","8306"
"09.06.2022 13:00 - 09.06.2022 14:00","8244","8157"
"09.06.2022 14:00 - 09.06.2022 15:00","8054","7971"
"09.06.2022 15:00 - 09.06.2022 16:00","8009","7896"
"09.06.2022 16:00 - 09.06.2022 17:00","7916","7808"
"09.06.2022 17:00 - 09.06.2022 18:00","7758","7684"
"09.06.2022 18:00 - 09.06.2022 19:00","7535","7532"
"09.06.2022 19:00 - 09.06.2022 20:00","7479","7482"
"09.06.2022 20:00 - 09.06.2022 21:00","7291","7250"
"09.06.2022 21:00 - 09.06.2022 22:00","7082","7038"
"09.06.2022 22:00 - 09.06.2022 23:00","6760","6696"
"09.06.2022 23:00 - 10.06.2022 00:00","6316","6259"
"10.06.2022 00:00 - 10.06.2022 01:00","5986","5889"
"10.06.2022 01:00 - 10.06.2022 02:00","5932","5862"
"10.06.2022 02:00 - 10.06.2022 03:00","5791","5721"
"10.06.2022 03:00 - 10.06.2022 04:00","5700","5645"
"10.06.2022 04:00 - 10.06.2022 05:00","5726","5682"
"10.06.2022 05:00 - 10.06.2022 06:00","5978","5945"
"10.06.2022 06:00 - 10.06.2022 07:00","6958","6920"
"10.06.2022 07:00 - 10.06.2022 08:00","7523","7512"
"10.06.2022 08:00 - 10.06.2022 09:00","7855","7824"
"10.06.2022 09:00 - 10.06.2022 10:00","8127","7986"
"10.06.2022 10:00 - 10.06.2022 11:00","8157","7994"
"10.06.2022 11:00 - 10.06.2022 12:00","8229","8030"
"10.06.2022 12:00 - 10.06.2022 13:00","8218","8006"
"10.06.2022 13:00 - 10.06.2022 14:00","8059","7871"
"10.06.2022 14:00 - 10.06.2022 15:00","7833","7735"
"10.06.2022 15:00 - 10.06.2022 16:00","7755","7611"
"10.06.2022 16:00 - 10.06.2022 17:00","7659","7523"
"10.06.2022 17:00 - 10.06.2022 18:00","7477","7361"
"10.06.2022 18:00 - 10.06.2022 19:00","7222","7062"
"10.06.2022 19:00 - 10.06.2022 20:00","7127","6919"
"10.06.2022 20:00 - 10.06.2022 21:00","6916","6670"
"10.06.2022 21:00 - 10.06.2022 22:00","6734","6506"
"10.06.2022 22:00 - 10.06.2022 23:00","6398","6198"
"10.06.2022 23:00 - 11.06.2022 00:00","5992","5788"
"11.06.2022 00:00 - 11.06.2022 01:00","5422","5325"
"11.06.2022 01:00 - 11.06.2022 02:00","5286","5191"
"11.06.2022 02:00 - 11.06.2022 03:00","5223","5151"
"11.06.2022 03:00 - 11.06.2022 04:00","5182","5145"
"11.06.2022 04:00 - 11.06.2022 05:00","5165","5076"
"11.06.2022 05:00 - 11.06.2022 06:00","5037","4963"
"11.06.2022 06:00 - 11.06.2022 07:00","5309","5253"
"11.06.2022 07:00 - 11.06.2022 08:00","5806","5710"
"11.06.2022 08:00 - 11.06.2022 09:00","6240","6153"
"11.06.2022 09:00 - 11.06.2022 10:00","6611","6527"
"11.06.2022 10:00 - 11.06.2022 11:00","6836","6787"
"11.06.2022 11:00 - 11.06.2022 12:00","6985","6919"
"11.06.2022 12:00 - 11.06.2022 13:00","6840","6757"
"11.06.2022 13:00 - 11.06.2022 14:00","6709","6645"
"11.06.2022 14:00 - 11.06.2022 15:00","6526","6440"
"11.06.2022 15:00 - 11.06.2022 16:00","6461","6359"
"11.06.2022 16:00 - 11.06.2022 17:00","6374","6297"
"11.06.2022 17:00 - 11.06.2022 18:00","6158","6087"
"11.06.2022 18:00 - 11.06.2022 19:00","6060","5980"
"11.06.2022 19:00 - 11.06.2022 20:00","5999","5939"
"11.06.2022 20:00 - 11.06.2022 21:00","5911","5821"
"11.06.2022 21:00 - 11.06.2022 22:00","5939","5838"
"11.06.2022 22:00 - 11.06.2022 23:00","5803","5761"
"11.06.2022 23:00 - 12.06.2022 00:00","5473","5409"
"12.06.2022 00:00 - 12.06.2022 01:00","5166","5053"
"12.06.2022 01:00 - 12.06.2022 02:00","5030","4923"
"12.06.2022 02:00 - 12.06.2022 03:00","4980","4879"
"12.06.2022 03:00 - 12.06.2022 04:00","4926","4879"
"12.06.2022 04:00 - 12.06.2022 05:00","4878","4775"
"12.06.2022 05:00 - 12.06.2022 06:00","4692","4637"
"12.06.2022 06:00 - 12.06.2022 07:00","4879","4826"
"12.06.2022 07:00 - 12.06.2022 08:00","5373","5254"
"12.06.2022 08:00 - 12.06.2022 09:00","5856","5766"
"12.06.2022 09:00 - 12.06.2022 10:00","6314","6205"
"12.06.2022 10:00 - 12.06.2022 11:00","6630","6538"
"12.06.2022 11:00 - 12.06.2022 12:00","6840","6719"
"12.06.2022 12:00 - 12.06.2022 13:00","6695","6606"
"12.06.2022 13:00 - 12.06.2022 14:00","6593","6537"
"12.06.2022 14:00 - 12.06.2022 15:00","6471","6433"
"12.06.2022 15:00 - 12.06.2022 16:00","6429","6388"
"12.06.2022 16:00 - 12.06.2022 17:00","6404","6347"
"12.06.2022 17:00 - 12.06.2022 18:00","6269","6164"
"12.06.2022 18:00 - 12.06.2022 19:00","6283","6192"
"12.06.2022 19:00 - 12.06.2022 20:00","6294","6290"
"12.06.2022 20:00 - 12.06.2022 21:00","6255","6237"
"12.06.2022 21:00 - 12.06.2022 22:00","6331","6273"
"12.06.2022 22:00 - 12.06.2022 23:00","6278","6337"
"12.06.2022 23:00 - 13.06.2022 00:00","5965","5978"
"13.06.2022 00:00 - 13.06.2022 01:00","5802","5700"
"13.06.2022 01:00 - 13.06.2022 02:00","5771","5698"
"13.06.2022 02:00 - 13.06.2022 03:00","5620","5529"
"13.06.2022 03:00 - 13.06.2022 04:00","5520","5436"
"13.06.2022 04:00 - 13.06.2022 05:00","5549","5515"
"13.06.2022 05:00 - 13.06.2022 06:00","5878","5828"
"13.06.2022 06:00 - 13.06.2022 07:00","6918","6938"
"13.06.2022 07:00 - 13.06.2022 08:00","7536","7494"
"13.06.2022 08:00 - 13.06.2022 09:00","7871","7833"
"13.06.2022 09:00 - 13.06.2022 10:00","8119","8049"
"13.06.2022 10:00 - 13.06.2022 11:00","8104","8008"
"13.06.2022 11:00 - 13.06.2022 12:00","8247","8070"
"13.06.2022 12:00 - 13.06.2022 13:00","8318","8169"
"13.06.2022 13:00 - 13.06.2022 14:00","8209","8076"
"13.06.2022 14:00 - 13.06.2022 15:00","8004","7897"
"13.06.2022 15:00 - 13.06.2022 16:00","7951","7820"
"13.06.2022 16:00 - 13.06.2022 17:00","7853","7684"
"13.06.2022 17:00 - 13.06.2022 18:00","7703","7568"
"13.06.2022 18:00 - 13.06.2022 19:00","7476","7398"
"13.06.2022 19:00 - 13.06.2022 20:00","7417","7328"
"13.06.2022 20:00 - 13.06.2022 21:00","7223","7073"
"13.06.2022 21:00 - 13.06.2022 22:00","7056","6918"
"13.06.2022 22:00 - 13.06.2022 23:00","6723","6616"
"13.06.2022 23:00 - 14.06.2022 00:00","6279","6262"
"14.06.2022 00:00 - 14.06.2022 01:00","5972","5917"
"14.06.2022 01:00 - 14.06.2022 02:00","5921","5841"
"14.06.2022 02:00 - 14.06.2022 03:00","5770","5683"
"14.06.2022 03:00 - 14.06.2022 04:00","5684","5603"
"14.06.2022 04:00 - 14.06.2022 05:00","5737","5637"
"14.06.2022 05:00 - 14.06.2022 06:00","6040","5936"
"14.06.2022 06:00 - 14.06.2022 07:00","7087","6947"
"14.06.2022 07:00 - 14.06.2022 08:00","7625","7526"
"14.06.2022 08:00 - 14.06.2022 09:00","7888","7802"
"14.06.2022 09:00 - 14.06.2022 10:00","8073","7985"
"14.06.2022 10:00 - 14.06.2022 11:00","8053","7979"
"14.06.2022 11:00 - 14.06.2022 12:00","8164","7991"
"14.06.2022 12:00 - 14.06.2022 13:00","8229","8091"
"14.06.2022 13:00 - 14.06.2022 14:00","8113","7998"
"14.06.2022 14:00 - 14.06.2022 15:00","7913","7835"
"14.06.2022 15:00 - 14.06.2022 16:00","7857","7784"
"14.06.2022 16:00 - 14.06.2022 17:00","7761","7673"
"14.06.2022 17:00 - 14.06.2022 18:00","7610","7489"
"14.06.2022 18:00 - 14.06.2022 19:00","7394","7351"
"14.06.2022 19:00 - 14.06.2022 20:00","7354","7306"
"14.06.2022 20:00 - 14.06.2022 21:00","7192","7089"
"14.06.2022 21:00 - 14.06.2022 22:00","7074","6955"
"14.06.2022 22:00 - 14.06.2022 23:00","6783","6717"
"14.06.2022 23:00 - 15.06.2022 00:00","6347","6273"
"15.06.2022 00:00 - 15.06.2022 01:00","5979","5921"
"15.06.2022 01:00 - 15.06.2022 02:00","5917","5845"
"15.06.2022 02:00 - 15.06.2022 03:00","5774","5695"
"15.06.2022 03:00 - 15.06.2022 04:00","5690","5618"
"15.06.2022 04:00 - 15.06.2022 05:00","5743","5655"
"15.06.2022 05:00 - 15.06.2022 06:00","6044","5940"
"15.06.2022 06:00 - 15.06.2022 07:00","7033","6935"
"15.06.2022 07:00 - 15.06.2022 08:00","7576","7495"
"15.06.2022 08:00 - 15.06.2022 09:00","7847","7786"
"15.06.2022 09:00 - 15.06.2022 10:00","8031","7981"
"15.06.2022 10:00 - 15.06.2022 11:00","8016","7883"
"15.06.2022 11:00 - 15.06.2022 12:00","8126","8030"
"15.06.2022 12:00 - 15.06.2022 13:00","8203","8116"
"15.06.2022 13:00 - 15.06.2022 14:00","8100","8044"
"15.06.2022 14:00 - 15.06.2022 15:00","7917","7918"
"15.06.2022 15:00 - 15.06.2022 16:00","7879","7861"
"15.06.2022 16:00 - 15.06.2022 17:00","7798","7752"
"15.06.2022 17:00 - 15.06.2022 18:00","7654","7659"
"15.06.2022 18:00 - 15.06.2022 19:00","7442","7423"
"15.06.2022 19:00 - 15.06.2022 20:00","7375","7398"
"15.06.2022 20:00 - 15.06.2022 21:00","7193","7203"
"15.06.2022 21:00 - 15.06.2022 22:00","7075","7073"
"15.06.2022 22:00 - 15.06.2022 23:00","6769","6824"
"15.06.2022 23:00 - 16.06.2022 00:00","6356","6375"
"16.06.2022 00:00 - 16.06.2022 01:00","5983","5993"
"16.06.2022 01:00 - 16.06.2022 02:00","5925","5916"
"16.06.2022 02:00 - 16.06.2022 03:00","5776","5743"
"16.06.2022 03:00 - 16.06.2022 04:00","5684","5673"
"16.06.2022 04:00 - 16.06.2022 05:00","5717","5665"
"16.06.2022 05:00 - 16.06.2022 06:00","5990","5912"
"16.06.2022 06:00 - 16.06.2022 07:00","6998","6953"
"16.06.2022 07:00 - 16.06.2022 08:00","7581","7514"
"16.06.2022 08:00 - 16.06.2022 09:00","7884","7853"
"16.06.2022 09:00 - 16.06.2022 10:00","8098","8011"
"16.06.2022 10:00 - 16.06.2022 11:00","8119","8043"
"16.06.2022 11:00 - 16.06.2022 12:00","8256","8170"
"16.06.2022 12:00 - 16.06.2022 13:00","8344","8240"
"16.06.2022 13:00 - 16.06.2022 14:00","8243","8200"
"16.06.2022 14:00 - 16.06.2022 15:00","8071","8075"
"16.06.2022 15:00 - 16.06.2022 16:00","8031","7986"
"16.06.2022 16:00 - 16.06.2022 17:00","7916","7840"
"16.06.2022 17:00 - 16.06.2022 18:00","7747","7716"
"16.06.2022 18:00 - 16.06.2022 19:00","7521","7465"
"16.06.2022 19:00 - 16.06.2022 20:00","7426","7402"
"16.06.2022 20:00 - 16.06.2022 21:00","7211","7167"
"16.06.2022 21:00 - 16.06.2022 22:00","7060","6995"
"16.06.2022 22:00 - 16.06.2022 23:00","6744","6734"
"16.06.2022 23:00 - 17.06.2022 00:00","6313","6295"
"17.06.2022 00:00 - 17.06.2022 01:00","5926","5906"
"17.06.2022 01:00 - 17.06.2022 02:00","5856","5847"
"17.06.2022 02:00 - 17.06.2022 03:00","5712","5720"
"17.06.2022 03:00 - 17.06.2022 04:00","5626","5594"
"17.06.2022 04:00 - 17.06.2022 05:00","5651","5573"
"17.06.2022 05:00 - 17.06.2022 06:00","5884","5841"
"17.06.2022 06:00 - 17.06.2022 07:00","6876","6823"
"17.06.2022 07:00 - 17.06.2022 08:00","7460","7397"
"17.06.2022 08:00 - 17.06.2022 09:00","7757","7718"
"17.06.2022 09:00 - 17.06.2022 10:00","7978","7925"
"17.06.2022 10:00 - 17.06.2022 11:00","7982","7879"
"17.06.2022 11:00 - 17.06.2022 12:00","8043","7933"
"17.06.2022 12:00 - 17.06.2022 13:00","8050","7912"
"17.06.2022 13:00 - 17.06.2022 14:00","7901","7773"
"17.06.2022 14:00 - 17.06.2022 15:00","7718","7596"
"17.06.2022 15:00 - 17.06.2022 16:00","7654","7559"
"17.06.2022 16:00 - 17.06.2022 17:00","7545","7450"
"17.06.2022 17:00 - 17.06.2022 18:00","7374","7286"
"17.06.2022 18:00 - 17.06.2022 19:00","7092","7008"
"17.06.2022 19:00 - 17.06.2022 20:00","7000","6878"
"17.06.2022 20:00 - 17.06.2022 21:00","6795","6610"
"17.06.2022 21:00 - 17.06.2022 22:00","6630","6509"
"17.06.2022 22:00 - 17.06.2022 23:00","6327","6187"
"17.06.2022 23:00 - 18.06.2022 00:00","5915","5769"
"18.06.2022 00:00 - 18.06.2022 01:00","5360","5338"
"18.06.2022 01:00 - 18.06.2022 02:00","5220","5191"
"18.06.2022 02:00 - 18.06.2022 03:00","5172","5165"
"18.06.2022 03:00 - 18.06.2022 04:00","5129","5156"
"18.06.2022 04:00 - 18.06.2022 05:00","5095","5081"
"18.06.2022 05:00 - 18.06.2022 06:00","4947","4988"
"18.06.2022 06:00 - 18.06.2022 07:00","5234","5271"
"18.06.2022 07:00 - 18.06.2022 08:00","5712","5695"
"18.06.2022 08:00 - 18.06.2022 09:00","6158","6168"
"18.06.2022 09:00 - 18.06.2022 10:00","6548","6556"
"18.06.2022 10:00 - 18.06.2022 11:00","6797","6799"
"18.06.2022 11:00 - 18.06.2022 12:00","6951","6961"
"18.06.2022 12:00 - 18.06.2022 13:00","6826","6788"
"18.06.2022 13:00 - 18.06.2022 14:00","6716","6686"
"18.06.2022 14:00 - 18.06.2022 15:00","6577","6560"
"18.06.2022 15:00 - 18.06.2022 16:00","6502","6518"
"18.06.2022 16:00 - 18.06.2022 17:00","6432","6418"
"18.06.2022 17:00 - 18.06.2022 18:00","6222","6189"
"18.06.2022 18:00 - 18.06.2022 19:00","6111","6086"
"18.06.2022 19:00 - 18.06.2022 20:00","6044","6026"
"18.06.2022 20:00 - 18.06.2022 21:00","5910","5872"
"18.06.2022 21:00 - 18.06.2022 22:00","5891","5869"
"18.06.2022 22:00 - 18.06.2022 23:00","5821","5791"
"18.06.2022 23:00 - 19.06.2022 00:00","5486","5473"
"19.06.2022 00:00 - 19.06.2022 01:00","5182","5094"
"19.06.2022 01:00 - 19.06.2022 02:00","5017","4939"
"19.06.2022 02:00 - 19.06.2022 03:00","4969","4908"
"19.06.2022 03:00 - 19.06.2022 04:00","4914","4939"
"19.06.2022 04:00 - 19.06.2022 05:00","4835","4774"
"19.06.2022 05:00 - 19.06.2022 06:00","4664","4642"
"19.06.2022 06:00 - 19.06.2022 07:00","4900","4886"
"19.06.2022 07:00 - 19.06.2022 08:00","5357","5337"
"19.06.2022 08:00 - 19.06.2022 09:00","5859","5827"
